id,name,short,type,from,purchaseDate,purchasePrice,sellDate,sellPrice,pass,passDate,time,sort
m-0001,我的世界,,ms,,2024/4/23,89,,,y,,40,SDB
n-0001,致动超级传奇S-HD,,hardware,,2025/5/16,253.5,,,,,,
n-0002,致动摇杆帽,,hardware,,2025/5/21,16.75,,,,,,
n-0003,MS-2130采集卡,,hardware,,2025/5/30,55.9,,,,,,
n-0004,Nintendo Switch 2,,hardware,,2025/6/15,3508,,,,,,
n-0005,家庭高级会员,,hardware,,2025/6/17,86,,,,,,
n-0006,小小梦魇2,,digital,,2025/6/20,12.8,,,,,,HOR
n-0007,逆转裁判123 成步堂精选集,逆转123,physical,,2025/6/27,114,2025/9/1,124,y,2025/8/26,46,AVG
n-0008,霍格沃兹之遗,,physical,,2025/7/3,261,2025/7/24,227.2,y,2025/7/21,33,RPG
n-0009,Switch2收纳包,,hardware,,2025/7/7,29.4,,,,,,
n-0010,Switch2钢化膜,,hardware,,2025/7/7,16.7,,,,,,
n-0011,Nintendo Switch 运动,NS运动,physical,,2025/7/11,192,2025/8/1,213,,,2,SPG
n-0012,超级马力欧派对 空前盛会,,physical,,2025/7/13,259,2025/8/1,245,y,2025/7/30,6,PRT
n-0013,JoyCon2摇杆帽,,hardware,,2025/7/20,20.9,,,,,,
n-0014,女神异闻录５皇家版,,physical,,2025/7/21,140,,,,,,JRPG
n-0015,咚奇刚：蕉力全开,,physical,,2025/7/23,343.8,,,,,,P3D
n-0016,赛博朋克2077终极版,,physical,,2025/7/29,283.05,,,,,,C&G
n-0017,塞尔达传说：王国之泪,王泪,physical,friend,2024/5/1,0,,,y,2024/10/2,98,ARPG
n-0018,逆转检事1&2 御剑精选集,,physical,,2025/8/24,169.25,,,,,,ADV
n-0019,超级马力欧：奥德赛,奥德赛,physical,friend,2024/12/1,0,,,y,2025/1/14,41,P3D
u-0001,刺客信条：大革命,,ubi,,2024/7/27,40.1,,,y,2024/8/7,30,RPG
u-0002,纪元1800,,ubi,,2024/6/18,59.6,,,,,5,SIM
u-0003,极限国度,,ubi,,2024/10/3,40.5,,,,,4,SPG
u-0004,勇敢的心：世界大战,,ubi,,2025/1/24,2.4,,,y,2025/2/18,8,P2D
u-0005,看门狗,,ubi,,2025/1/24,2.4,,,,,,RPG
u-0006,刺客信条：枭雄,,ubi,,2024/8/3,46.5,,,,,,RPG
v-0001,祖玛豪华版,,steam,,2024/11/6,5.25,,,y,2024/11/12,2,TAB
v-0002,植物大战僵尸 年度版,,steam,,2024/5/25,21,,,y,2024/7/10,27,TDG
v-0003,席德·梅尔的文明IV,,steam,,2024/7/8,,,,,,1,SIM
v-0004,席德·梅尔的文明V,,steam,,2024/9/1,23.7,,,,,4,SIM
v-0005,传送门2,,steam,,2024/10/11,4.2,,,y,2025/5/4,9,PUZ
v-0006,黑色洛城,,steam,,2025/6/27,27.03,,,,,1,RPG
v-0007,监狱建筑师,,steam,,2024/6/30,13.8,,,y,2024/8/11,55,SIM
v-0008,坎巴拉太空计划,,steam,,2024/1/16,96.04,,,y,2024/2/18,88,SIM
