id,name,type,sort,status,purchaseDate,purchasePrice,from,playTime,passDate,sellDate,sellPrice,rating
v-0034,帕特里克的套箱,steam,PUZ,playing,2025/08/12,0.0,friend,0.0,,,,
v-0015,命运石之门,steam,GAL,playing,2025/06/28,9.0,,0.0,,,,
n-0014,女神异闻录５皇家版,physical,JRPG,playing,2025/07/21,140.0,,,,,,4.0
v-0070,多边形造桥,steam,PUZ,playing,2025/10/01,3.7,,,,,,
v-0066,最后生还者 第一部,steam,RPG,playing,2025/08/25,20.0,friend,0.0,,,,
n-0015,咚奇刚：蕉力全开,physical,P3D,playing,2025/07/23,343.8,,,,,,5.0
v-0030,底特律：变人,steam,MOV,passed,2024/10/14,38.4,,28.0,2024/10/27,,,4.0
u-0004,勇敢的心：世界大战,ubi,P2D,passed,2025/01/24,2.4,,8.0,2025/02/18,,,3.0
n-0007,逆转裁判123 成步堂精选集,physical,AVG,passed,2025/06/27,114.0,,46.0,2025/08/26,2025/09/01,124.0,4.0
v-0050,死亡搁浅 导演剪辑版,steam,RPG,passed,2025/03/01,69.5,,37.0,2025/04/25,,,3.0
v-0016,锈湖：旅馆,steam,ADV,passed,2025/05/02,3.74,,3.0,2025/05/03,,,4.0
n-0017,塞尔达传说：王国之泪,emulator,ARPG,passed,2024/05/01,0.0,friend,98.0,2024/10/02,,,5.0
v-0008,坎巴拉太空计划,steam,SIM,passed,2024/01/16,96.04,,88.0,2024/02/18,,,4.0
v-0064,Sheppy: A Short Advanture,steam,P2D,passed,2024/11/24,0.0,free,2.0,2024/11/27,,,4.0
v-0059,极乐迪斯科,steam,CRPG,passed,2025/02/19,22.5,,16.0,2025/03/06,,,4.0
v-0039,Sizeable,steam,PUZ,passed,2025/03/14,3.7,,4.0,2025/03/30,,,4.0
v-0025,夏日口袋,steam,GAL,passed,2025/03/04,50.4,,21.0,2025/03/11,,,4.0
v-0056,魔女的夜宴,steam,GAL,passed,2024/09/11,60.72,,26.0,2024/09/30,,,5.0
v-0009,王国保卫战,steam,TDG,passed,2024/08/08,23.4,,23.0,2024/10/07,,,5.0
v-0018,奥威尔：注视着你,steam,ADV,passed,2025/03/10,9.29,,8.0,2025/03/14,,,3.0
v-0022,心跳文学部,steam,GAL,passed,2024/07/06,0.0,free,6.0,2025/02/26,,,4.0
v-0053,轨道连结,steam,PUZ,passed,2025/04/04,0.0,friend,12.0,2025/04/23,,,4.0
v-0005,传送门2,steam,PUZ,passed,2024/10/11,4.2,,9.0,2025/05/04,,,5.0
v-0002,植物大战僵尸 年度版,steam,TDG,passed,2024/05/25,21.0,,27.0,2024/07/10,,,5.0
v-0029,荒野大镖客：救赎2,steam,C&G,passed,2025/01/27,69.75,,73.0,2025/02/15,,,5.0
n-0012,超级马力欧派对 空前盛会,physical,PRT,passed,2025/07/13,259.0,,6.0,2025/07/30,2025/08/01,245.0,4.0
v-0023,锈湖：天堂岛,steam,ADV,passed,2025/05/03,6.12,,5.0,2025/06/05,,,4.0
v-0031,ATRI -My Dear Moments-,steam,GAL,passed,2024/11/29,31.03,,7.0,2024/12/03,,,4.0
v-0035,侠盗猎车手IV：完整版,steam,C&G,passed,2025/03/11,34.69,,27.0,2025/04/03,,,5.0
n-0016,赛博朋克2077终极版,physical,RPG,passed,2025/07/29,283.05,,47.0,2025/09/19,2025/09/24,286.0,5.0
v-0001,祖玛豪华版,steam,TAB,passed,2024/11/06,5.25,,2.0,2024/11/12,,,4.0
v-0052,纪念碑谷,steam,PUZ,passed,2025/01/21,11.99,,3.0,2025/01/23,,,4.0
v-0007,监狱建筑师,steam,SIM,passed,2024/06/30,13.8,,55.0,2024/08/11,,,4.0
v-0026,超凡双生,steam,MOV,passed,2024/11/24,17.0,,11.0,2025/02/28,,,3.0
